Date,01-01-2017,01-02-2017,01-03-2017,01-04-2017,01-05-2017,01-06-2017,01-07-2017,01-08-2017,01-09-2017,01-10-2017,01-11-2017,01-12-2017,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018,01-06-2018,01-07-2018,01-08-2018,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019,01-10-2019,01-11-2019,01-12-2019,01-01-2020,01-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021
Tata Motors Ltd.,2934.857,2530.335,2685.515,2687.021,2774.404,2486.643,2594.365,2249.354,2355.569,2467.811,2349.543,2491.163,2332.217,2110.747,1935.981,1892.29,1572.89,1472.701,1371.006,1397.371,1157.069,919.7793,919.026,917.5194,984.5631,941.625,946.1448,1160.082,942.3783,879.8544,731.4543,619.2126,632.0187,909.9864,845.2026,961.9641,913.7529,690.0228,355.5576,445.9536,430.1343,494.9181,513.7506,733.7142,684.7497,660.6441,899.4402,949.158,1341.627,1656.507,1566.111,1457.636,1636.921,1716.017,1482.494,1482.494,1688.145,2378.921,2300.578,467.2
Tata Steel,441.1647,459.886,459.886,428.0169,480.8462,519.956,540.2969,607.8936,621.7083,670.5361,661.3422,697.7843,705.05,671.6,571.05,594.95,575.65,567.75,563.05,600.5,581.25,553.85,529.5,521.05,476.7,500.45,521,557.2,488.3,504.4,432.05,344.9,360.5,380.55,427.5,472.05,438.7,381.75,269.6,298.3,295.2,326.7,366.3,413,359.75,410.55,577.35,643.65,601,715.15,811.85,1034,1125.65,1166.6,1434.3,1450.25,1288.9,1315.95,1071.2,1118
Tech Mahindra,452.2,499.4,459.15,416.95,390,382,385.85,428.15,457.85,482.05,489.25,504.05,612.65,612.65,638.7,670.6,712.35,655.45,680.75,765.8,745.5,743.9,705.95,723.15,731.9,830.15,775.9,836.1,760.35,706.6,636.25,693.65,714.5,739,761.45,762.3,796.6,744.4,565.5,546.25,530.45,543.4,681.65,741,791.75,813.3,876.85,973.2,961.4,918.85,991.45,960.4,1021.65,1095.45,1209.55,1447.65,1380.6,1477.85,1541.45,1593.3
Titan Company,362.05,437.2,462.75,470.25,474.9,524.45,544.25,617.1,584.55,635.25,818.9,858.15,869.55,816.15,942.3,981.8,900.1,878.5,912.35,891.9,805.6,844.6,927.1,931,995.8,1025.2,1141.85,1158.55,1235.75,1334.7,1056.35,1105.1,1273.05,1331.2,1159.7,1187.95,1187.75,1254.5,933.7,970.05,890,949.85,1043.25,1100.5,1201.35,1165.75,1361.2,1567.15,1420.3,1406.9,1558.05,1491.65,1596.25,1732.5,1714.55,1921.6,2161.85,2383.55,2375.5,2369.25
Torrent Pharmancy,1299,1360.5,1549.25,1416.05,1224.15,1213,1316.75,1202.7,1231.25,1271.4,1287.9,1416.65,1362.95,1369.25,1247.9,1415.45,1410.25,1402.5,1526.2,1813.05,1650.25,1665.25,1768.75,1771.25,1817.1,1805.65,1952.2,1792.15,1562.85,1548.8,1669.25,1707.55,1666.4,1775,1896.9,1846.95,1930.35,2149.1,1971.5,2344.5,2364.8,2370.9,2662.7,2661,2800.2,2564.7,2611.1,2800.7,2604,2429.55,2541.2,2509.7,2740,2902.65,3069.7,3104.4,3076.8,2860.25,3043.35,2984.35
UPL,483.1667,478.8667,484.6,537.4334,574.2,560.2667,584.7667,552.0333,519,532.8666,487.5667,508.4667,501.3667,485.8333,486.8333,486.5667,471.7333,412.5333,429.3667,476.8667,442.8667,449.5667,505.2,505.5,524.3333,585.0667,639.2333,646.1,665.9667,624.9667,595.25,563.2,603.95,596.45,573.25,584.5,526.55,519.7,326.5,420.05,405.85,425.2,478.15,505.95,502.9,453.25,417.7,466.35,560.65,561.55,641.85,606.9,815.1,792.85,808.55,741.25,707.7,740.2,681.7,716.55
UltraTech Cement,3694.45,3774.55,3984.75,4248.95,4195.2,3959.1,4056.9,4000.4,3854.2,4401.05,4203.8,4320.6,4382,4155.6,3950,4108.85,3744.9,3818.6,4193.8,4475.5,4059.95,3499.4,3999.65,3990.95,3519.35,3826.5,3998.35,4616.8,4760.1,4555.85,4346.9,4052.25,4341.25,4143.2,4259.1,4046.05,4416.1,4219.6,3244.85,3534.3,3904.85,3893.55,4117.3,3903.85,4049.55,4574.05,4802,5288.15,5327.25,6115,6737.95,6278.95,6708,6776,7619.2,7832.45,7396.1,7636.05,7433.75,7332.45
United Spirits,435.7,469.02,434.94,375.19,453.07,479.67,507.14,508.58,479.53,610.27,656.93,733.77,657.12,658.39,625.93,724.44,668.72,664.95,587.05,630.25,514.3,576.8,672.4,635.8,539.8,546.25,553.9,561.1,554.05,584.95,594.05,628.25,667,624.95,606.25,599.55,619,686.35,484.6,536.65,594.1,592.3,581.2,546.65,515.85,504.3,548.4,578.25,578.7,535.1,556.35,519.55,612.45,661.65,640.75,715.15,853.1,947.35,882.95,895.15
Vedanta,253.1,259.1,274.95,243.55,238.65,249.05,279.85,308.9,314.25,331.85,295.45,329.9,340.35,329.75,277.85,298.4,248.3,236.2,222.2,227.7,232.3,211.15,195.85,202.2,197.35,169.4,184.45,166.85,160.55,174.35,154.1,139.15,154.15,148.35,144.6,152.45,137.9,114,64.7,89.55,92.2,106.4,113.8,128.65,136.9,95.75,120.75,161.4,161.25,207.3,228.75,257.25,274.2,262.85,301.85,302.8,287.65,304,338.85,337.3
Wipro,347.648,368.3637,385.313,371.0003,406.0287,391.716,463.2795,447.4602,427.8744,403.7688,406.0287,412.0551,413.5617,415.0683,388.7028,360.0774,346.518,360.8307,381.1698,387.9495,392.4693,389.4561,393.2226,386.4429,428.6277,421.848,299.8134,344.2581,332.9586,326.1789,308.0997,287.7606,274.9545,299.8134,273.4479,282.4875,273.4479,259.8885,233.523,247.8357,249.3423,249.3423,325.4256,323.919,354.051,364.5972,387.9495,425.6145,463.2795,461.7729,477.5922,539.3628,597.3669,588.3273,627.4989,703.5822,665.1639,674.9568,643.3182,624.5
Yes Bank Ltd.,279.2,290.54,309.35,326.05,286.27,292.7,361.9,350.61,350,314.25,306.9,315.15,354.4,322.3,304.85,362,346.2,339.65,367.95,343.5,183.65,188.1,169.8,181.8,194.1,231.15,275.1,168,147.8,108.75,91.2,59.95,41.4,70.4,68.3,46.95,39.25,34.6,22.45,27.9,26.85,25.6,11.95,14.35,13.15,12.4,14.7,17.85,15.75,15.75,15.6,14.55,13.5,13.55,12.75,10.8,12.55,12.8,12.4,12.55
